# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    5.025773774    0.414948052    0.414925054    0.029616964
    5.045792793    0.333347373    0.333334286    0.027107827
    5.065811812    0.304445456    0.304429838    0.028342038
    5.085830831    0.313970829    0.313944221    0.034314951
    5.105849850    0.375794118    0.375741924    0.049806294
    5.125868869    0.545900176    0.545781381    0.087744796
    5.145887888    0.864670259    0.864357850    0.140449713
    5.165906907    1.275182069    1.274892824    0.175701446
    5.185925926    1.019141759    1.019486181    0.131016399
    5.205944945    0.586125051    0.586287560    0.069552540
    5.225963964    0.427507099    0.427546667    0.045626307
    5.245982983    0.405330409    0.405304169    0.039584500
    5.266002002    0.485326582    0.485221646    0.045912347
    5.286021021    0.738527025    0.738249354    0.072489950
    5.306040040    1.304697413    1.304264000    0.134769614
    5.326059059    1.458407523    1.458590872    0.131995990
    5.346078078    1.376294877    1.376144725    0.067407051
    5.366097097    2.083830777    2.083275452    0.037819989
    5.386116116    2.154191847    2.154684604    0.025659884
    5.406135135    1.126332355    1.126729886    0.020051968
    5.426154154    0.629757670    0.629912424    0.017972734
    5.446173173    0.437017455    0.437079476    0.018666847
    5.466192192    0.373066181    0.373084518    0.023386927
    5.486211211    0.401562933    0.401543263    0.037429734
    5.506230230    0.537426462    0.537383944    0.068372700
    5.526249249    0.551140777    0.551175965    0.064990943
    5.546268268    0.487275836    0.487256134    0.033748553
    5.566287287    0.596177796    0.596061046    0.019476753
    5.586306306    0.992197340    0.991862922    0.013456779
    5.606325325    1.983519180    1.982871652    0.010587846
    5.626344344    2.406316630    2.406893176    0.008950649
    5.646363363    1.262271105    1.262844531    0.007739369
    5.666382382    0.648833103    0.649063285    0.006960217
    5.686401401    0.401890142    0.401990194    0.006450822
    5.706420420    0.291902923    0.291950745    0.006106315
    5.726439439    0.241364672    0.241386386    0.005876839
    5.746458458    0.224938586    0.224942220    0.005739576
    5.766477477    0.238097285    0.238081964    0.005689764
    5.786496496    0.284312656    0.284269736    0.005743269
    5.806515516    0.399994080    0.399874322    0.005956893
    5.826534535    0.705521392    0.705218758    0.006486262
    5.846553554    1.149051202    1.148948258    0.007396327
    5.866572573    0.920070689    0.920348628    0.008212058
    5.886591592    0.840687988    0.840779399    0.010643559
    5.906610611    1.198116955    1.198135413    0.015781241
    5.926629630    0.983226965    0.983319051    0.014326543
    5.946648649    0.505552964    0.505602170    0.009941992
    5.966667668    0.297004101    0.297026846    0.008318596
    5.986686687    0.208329353    0.208341504    0.008015800
    6.006705706    0.167638806    0.167646212    0.008391469
    6.026724725    0.151432108    0.151437377    0.009351585
    6.046743744    0.153791083    0.153796240    0.011109768
    6.066762763    0.180269779    0.180278609    0.014317868
    6.086781782    0.256644246    0.256667478    0.020717360
    6.106800801    0.436044538    0.436073864    0.034117101
    6.126819820    0.550220491    0.550083027    0.053064884
    6.146838839    0.621505464    0.621293172    0.091123551
    6.166857858    0.749962720    0.750008558    0.128006702
    6.186876877    0.443656629    0.443808813    0.074186286
    6.206895896    0.241160765    0.241221951    0.037745595
    6.226914915    0.158524068    0.158548735    0.023284449
    6.246933934    0.121860316    0.121871002    0.017119041
    6.266952953    0.105009334    0.105013378    0.014443617
    6.286971972    0.099177052    0.099176769    0.013674138
    6.306990991    0.102062180    0.102057608    0.014422249
    6.327010010    0.115471527    0.115460501    0.017065464
    6.347029029    0.147344379    0.147320097    0.023157524
    6.367048048    0.221777885    0.221719722    0.037396908
    6.387067067    0.408634267    0.408489756    0.073429334
    6.407086086    0.713395425    0.713318655    0.132234372
    6.427105105    0.538521227    0.538701368    0.096320934
    6.447124124    0.298228606    0.298307754    0.046515828
    6.467143143    0.216256354    0.216279046    0.025893128
    6.487162162    0.214058455    0.214051145    0.016974374
    6.507181181    0.282880898    0.282837382    0.012525503
    6.527200200    0.492587104    0.492461843    0.010071958
    6.547219219    0.957444458    0.957254541    0.008672338
    6.567238238    0.925387274    0.925534348    0.007645631
    6.587257257    0.457602866    0.457702681    0.006795440
    6.607276276    0.243411856    0.243450611    0.006229747
    6.627295295    0.154009112    0.154025793    0.005839896
