# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    10.684827731   10.685125750    9.640424127
    2.423301301    0.809972450    0.809723178    1.565658922
    2.443320320    1.178904832    1.178693437    1.580822348
    2.463339339    1.504705464    1.504521058    1.593804366
    2.483358358    1.800547879    1.800382950    1.605184950
    2.503377377    2.076067840    2.075917008    1.615371045
    2.523396396    2.338757446    2.338616712    1.624659165
    2.543415415    2.594868392    2.594734667    1.633274007
    2.563434434    2.850057990    2.849928798    1.641393456
    2.583453453    3.109922589    3.109795857    1.649165865
    2.603472472    3.380527132    3.380401049    1.656723211
    2.623491491    3.669040711    3.668913624    1.664192669
    2.643510511    3.984627225    3.984497559    1.671708948
    2.663529530    4.339836281    4.339702474    1.679430319
    2.683548549    4.752932407    4.752792876    1.687562915
    2.703567568    5.251925571    5.251778696    1.696400943
    2.723586587    5.881205284    5.881049431    1.706391641
    2.743605606    6.707797688    6.707631134    1.718195649
    2.763624625    7.779211588    7.779030650    1.732271824
    2.783643644    8.549449890    8.549229235    1.743249178
    2.803662663    5.081933187    5.081569533    1.712513818
    2.823681682    0.475833015    0.475409914    1.670354419
    2.843700701    1.061930867    1.061447488    1.678663691
    2.863719720    2.480874274    2.480274489    1.694493768
    2.883738739    3.873461865    3.872678117    1.709023448
    2.903757758    5.344929923    5.343874210    1.722658264
    2.923776777    7.010667993    7.009404056    1.736243811
    2.943795796    7.948438443    7.948978505    1.747944860
    2.963814815    2.122319049    2.129920602    1.743273558
    2.983833834   -4.290563414   -4.289230903    1.737657511
    3.003852853   -3.622629786   -3.623457627    1.750237615
    3.023871872   -2.142364184   -2.143114261    1.765976636
    3.043890891   -0.978286550   -0.978840529    1.782568906
    3.063909910   -0.088046430   -0.088472117    1.800784349
    3.083928929    0.631517512    0.631164776    1.821861433
    3.103947948    1.253992415    1.253674924    1.847292549
    3.123966967    1.826917637    1.826601035    1.876938309
    3.143985986    2.344006829    2.343621625    1.892399298
    3.164005005    2.802803505    2.802364433    1.877597135
    3.184024024    3.445260747    3.444773060    1.918764661
    3.204043043    4.186571727    4.186105087    1.985850001
    3.224062062    4.171327981    4.172142713    1.966132915
    3.244081081    1.393515785    1.395314581    1.624627252
    3.264100100    0.542054601    0.541910566    1.507256965
    3.284119119    1.213878701    1.213487080    1.567282436
    3.304138138    1.919126464    1.918768414    1.631020098
    3.324157157    2.531813351    2.531480088    1.683668555
