# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    11.113107652   11.113477898    9.349077768
    2.022022022    2.357368019    2.357399519    1.659988299
    2.042042042    2.360083880    2.360115369    1.660535155
    2.062062062    2.362842606    2.362874085    1.661089020
    2.082082082    2.365644836    2.365676305    1.661649952
    2.102102102    2.368491224    2.368522682    1.662218015
    2.122122122    2.371382443    2.371413890    1.662793270
    2.142142142    2.374319182    2.374350617    1.663375782
    2.162162162    2.377302148    2.377333572    1.663965617
    2.182182182    2.380332069    2.380363480    1.664562842
    2.202202202    2.383409690    2.383441089    1.665167527
    2.222222222    2.386535778    2.386567164    1.665779741
    2.242242242    2.389711120    2.389742492    1.666399557
    2.262262262    2.392936523    2.392967882    1.667027048
    2.282282282    2.396212818    2.396244163    1.667662291
    2.302302302    2.399540858    2.399572189    1.668305362
    2.322322322    2.402921521    2.402952837    1.668956341
    2.342342342    2.406355707    2.406387008    1.669615310
    2.362362362    2.409844343    2.409875628    1.670282351
    2.382382382    2.413388382    2.413419650    1.670957549
    2.402402402    2.416988802    2.417020054    1.671640992
    2.422422422    2.420646613    2.420677848    1.672332770
    2.442442442    2.424362849    2.424394067    1.673032974
    2.462462462    2.428138579    2.428169779    1.673741698
    2.482482482    2.431974899    2.432006080    1.674459039
    2.502502503    2.435872940    2.435904102    1.675185095
    2.522522523    2.439833865    2.439865007    1.675919969
    2.542542543    2.443858872    2.443889994    1.676663763
    2.562562563    2.447949195    2.447980296    1.677416586
    2.582582583    2.452106105    2.452137185    1.678178547
    2.602602603    2.456330912    2.456361970    1.678949757
    2.622622623    2.460624967    2.460656002    1.679730334
    2.642642643    2.464989661    2.465020674    1.680520396
    2.662662663    2.469426431    2.469457420    1.681320064
    2.682682683    2.473936757    2.473967720    1.682129465
    2.702702703    2.478522166    2.478553104    1.682948726
    2.722722723    2.483184235    2.483215147    1.683777982
    2.742742743    2.487924592    2.487955477    1.684617367
    2.762762763    2.492744917    2.492775774    1.685467023
    2.782782783    2.497646945    2.497677774    1.686327093
    2.802802803    2.502632469    2.502663269    1.687197726
    2.822822823    2.507703344    2.507734114    1.688079075
    2.842842843    2.512861483    2.512892222    1.688971297
    2.862862863    2.518108869    2.518139576    1.689874555
    2.882882883    2.523447549    2.523478224    1.690789016
    2.902902903    2.528879645    2.528910286    1.691714851
    2.922922923    2.534407350    2.534437956    1.692652240
    2.942942943    2.540032937    2.540063507    1.693601364
    2.962962963    2.545758759    2.545789292    1.694562414
    2.982982983    2.551587255    2.551617750    1.695535585
    3.003003003    2.557520952    2.557551407    1.696521077
    3.023023023    2.563562471    2.563592886    1.697519100
    3.043043043    2.569714530    2.569744903    1.698529868
    3.063063063    2.575979950    2.576010281    1.699553605
    3.083083083    2.582361661    2.582391948    1.700590540
    3.103103103    2.588862703    2.588892944    1.701640911
    3.123123123    2.595486237    2.595516431    1.702704964
    3.143143143    2.602235548    2.602265693    1.703782956
    3.163163163    2.609114050    2.609144146    1.704875150
    3.183183183    2.616125299    2.616155343    1.705981820
    3.203203203    2.623272992    2.623302983    1.707103250
    3.223223223    2.630560983    2.630590919    1.708239736
    3.243243243    2.637993284    2.638023164    1.709391582
    3.263263263    2.645574079    2.645603901    1.710559107
    3.283283283    2.653307733    2.653337494    1.711742641
    3.303303303    2.661198798    2.661228498    1.712942527
    3.323323323    2.669252030    2.669281666    1.714159122
    3.343343343    2.677472397    2.677501966    1.715392797
    3.363363363    2.685865089    2.685894590    1.716643938
    3.383383383    2.694435541    2.694464971    1.717912950
    3.403403403    2.703189436    2.703218794    1.719200253
    3.423423423    2.712132730    2.712162012    1.720506284
    3.443443443    2.721271662    2.721300866    1.721831501
    3.463463463    2.730612777    2.730641901    1.723176382
    3.483483483    2.740162945    2.740191986    1.724541427
    3.503503504    2.749929381    2.749958335    1.725927159
    3.523523524    2.759919669    2.759948533    1.727334124
    3.543543544    2.770141786    2.770170558    1.728762897
    3.563563564    2.780604131    2.780632808    1.730214079
    3.583583584    2.791315557    2.791344135    1.731688299
    3.603603604    2.802285398    2.802313873    1.733186221
    3.623623624    2.813523508    2.813551877    1.734708541
    3.643643644    2.825040301    2.825068560    1.736255991
    3.663663664    2.836846791    2.836874935    1.737829343
    3.683683684    2.848954640    2.848982666    1.739429410
    3.703703704    2.861376209    2.861404112    1.741057049
    3.723723724    2.874124617    2.874152392    1.742713168
    3.743743744    2.887213799    2.887241441    1.744398722
    3.763763764    2.900658579    2.900686084    1.746114728
    3.783783784    2.914474748    2.914502109    1.747862258
    3.803803804    2.928679144    2.928706356    1.749642453
    3.823823824    2.943289752    2.943316808    1.751456524
    3.843843844    2.958325808    2.958352702    1.753305758
    3.863863864    2.973807918    2.973834645    1.755191526
    3.883883884    2.989758194    2.989784745    1.757115292
    3.903903904    3.006200399    3.006226767    1.759078618
    3.923923924    3.023160124    3.023186301    1.761083174
    3.943943944    3.040664972    3.040690949    1.763130750
    3.963963964    3.058744783    3.058770552    1.765223269
    3.983983984    3.077431884    3.077457435    1.767362795
    4.004004004    3.096761368    3.096786690    1.769551553
    4.024024024    3.116771428    3.116796511    1.771791941
    4.044044044    3.137503735    3.137528567    1.774086555
