# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    9.149149149    1.548040512    1.548067325    1.373228858
    9.169169169    1.546948852    1.546975635    1.372607880
    9.189189189    1.545860045    1.545886797    1.371987754
    9.209209209    1.544774081    1.544800803    1.371368480
    9.229229229    1.543690951    1.543717643    1.370750062
    9.249249249    1.542610648    1.542637309    1.370132500
    9.269269269    1.541533163    1.541559794    1.369515797
    9.289289289    1.540458488    1.540485088    1.368899953
    9.309309309    1.539386613    1.539413183    1.368284972
    9.329329329    1.538317532    1.538344071    1.367670854
    9.349349349    1.537251234    1.537277743    1.367057600
    9.369369369    1.536187713    1.536214190    1.366445213
    9.389389389    1.535126958    1.535153406    1.365833695
    9.409409409    1.534068964    1.534095380    1.365223045
    9.429429429    1.533013720    1.533040106    1.364613267
    9.449449449    1.531961218    1.531987574    1.364004362
    9.469469469    1.530911451    1.530937776    1.363396330
    9.489489489    1.529864410    1.529890705    1.362789174
    9.509509510    1.528820087    1.528846351    1.362182894
    9.529529530    1.527778474    1.527804707    1.361577492
    9.549549550    1.526739561    1.526765764    1.360972970
    9.569569570    1.525703342    1.525729515    1.360369329
    9.589589590    1.524669808    1.524695950    1.359766569
    9.609609610    1.523638951    1.523665062    1.359164693
    9.629629630    1.522610763    1.522636843    1.358563701
    9.649649650    1.521585235    1.521611285    1.357963595
    9.669669670    1.520562360    1.520588379    1.357364376
    9.689689690    1.519542130    1.519568118    1.356766044
    9.709709710    1.518524535    1.518550494    1.356168602
    9.729729730    1.517509570    1.517535497    1.355572050
    9.749749750    1.516497225    1.516523122    1.354976389
    9.769769770    1.515487492    1.515513358    1.354381621
    9.789789790    1.514480364    1.514506199    1.353787746
    9.809809810    1.513475832    1.513501637    1.353194765
    9.829829830    1.512473889    1.512499663    1.352602680
    9.849849850    1.511474526    1.511500271    1.352011491
    9.869869870    1.510477737    1.510503451    1.351421199
    9.889889890    1.509483513    1.509509196    1.350831805
    9.909909910    1.508491845    1.508517498    1.350243311
    9.929929930    1.507502728    1.507528349    1.349655716
    9.949949950    1.506516151    1.506541742    1.349069022
    9.969969970    1.505532109    1.505557669    1.348483229
    9.989989990    1.504550592    1.504576123    1.347898339
   10.010010010    1.503571594    1.503597094    1.347314352
   10.030030030    1.502595107    1.502620576    1.346731269
   10.050050050    1.501621122    1.501646561    1.346149090
   10.070070070    1.500649633    1.500675041    1.345567817
   10.090090090    1.499680632    1.499706009    1.344987450
   10.110110110    1.498714110    1.498739457    1.344407989
   10.130130130    1.497750061    1.497775378    1.343829436
   10.150150150    1.496788477    1.496813763    1.343251790
   10.170170170    1.495829351    1.495854606    1.342675054
   10.190190190    1.494872674    1.494897899    1.342099226
   10.210210210    1.493918439    1.493943633    1.341524308
   10.230230230    1.492966639    1.492991803    1.340950300
   10.250250250    1.492017267    1.492042400    1.340377203
   10.270270270    1.491070314    1.491095417    1.339805018
   10.290290290    1.490125774    1.490150847    1.339233744
   10.310310310    1.489183640    1.489208682    1.338663382
   10.330330330    1.488243903    1.488268914    1.338093933
   10.350350350    1.487306556    1.487331537    1.337525396
   10.370370370    1.486371593    1.486396543    1.336957774
   10.390390390    1.485439005    1.485463925    1.336391065
   10.410410410    1.484508786    1.484533676    1.335825271
   10.430430430    1.483580928    1.483605787    1.335260391
   10.450450450    1.482655424    1.482680253    1.334696426
   10.470470470    1.481732267    1.481757065    1.334133376
   10.490490490    1.480811449    1.480836217    1.333571242
   10.510510511    1.479892964    1.479917702    1.333010023
   10.530530531    1.478976804    1.479001512    1.332449721
